-1.331019913777709007e-03,-6.603530142456293106e-03,8.616187572479248047e-01,6.251972913742065430e-02,8.547533303499221802e-03,1.698434501886367798e-01,9.834487438201904297e-01,-4.067968204617500305e-02,2.192502915859222412e-01,2.026038020849227905e-01,2.756121158599853516e-01,2.259932085871696472e-02,-1.016952246427536011e-01,-1.685023158788681030e-01,-2.276849597692489624e-01,2.260221540927886963e-02,4.138975739479064941e-01,-1.274476647377014160e-01,1.466723680496215820e-01,-1.276004910469055176e-01,-5.711324512958526611e-03,-1.248180046677589417e-01,-5.161030888557434082e-01,2.360682487487792969e-01,-6.991638541221618652e-01,-3.358235061168670654e-01,-8.594557642936706543e-03,-4.643645286560058594e-01,2.152193933725357056e-01,-5.765463113784790039e-01,-1.654456853866577148e-01,1.123944759368896484e+00,-2.032346129417419434e-01,1.718759089708328247e-01,-1.007075756788253784e-01,5.000750999897718430e-03
2.431440952932462096e-04,-2.350543858483433723e-03,8.588150739669799805e-01,6.222945451736450195e-02,1.329916063696146011e-02,1.552094817161560059e-01,9.858299493789672852e-01,-2.752491459250450134e-02,2.176526039838790894e-01,2.138747423887252808e-01,2.581198513507843018e-01,3.838844364508986473e-03,-1.002309843897819519e-01,-1.890338063240051270e-01,-2.272356301546096802e-01,2.914940938353538513e-02,4.288056492805480957e-01,-1.500424146652221680e-01,1.469543725252151489e-01,-1.554956287145614624e-01,-8.919645100831985474e-03,-1.344589442014694214e-01,-4.996830224990844727e-01,2.327048629522323608e-01,-7.031061053276062012e-01,-3.266907632350921631e-01,-6.729522719979286194e-03,-4.784016609191894531e-01,2.320460826158523560e-01,-5.596544742584228516e-01,-1.624138802289962769e-01,1.128570318222045898e+00,-1.880151927471160889e-01,1.880177259445190430e-01,-1.144474446773529053e-01,-2.318268269300460815e-02
1.631367020308971405e-03,2.964564366266131401e-03,8.543574213981628418e-01,5.889042094349861145e-02,1.441240590065717697e-02,1.390274316072463989e-01,9.884308576583862305e-01,-4.066780209541320801e-03,2.206225991249084473e-01,2.117135375738143921e-01,2.408134788274765015e-01,-7.687405217438936234e-03,-9.348589181900024414e-02,-2.070636749267578125e-01,-2.164794653654098511e-01,3.207077831029891968e-02,4.576821625232696533e-01,-1.787989884614944458e-01,1.347096264362335205e-01,-1.837619990110397339e-01,-6.351380143314599991e-03,-1.317279338836669922e-01,-4.756245017051696777e-01,2.249706238508224487e-01,-6.959808468818664551e-01,-2.981630861759185791e-01,-1.597256399691104889e-02,-4.998253583908081055e-01,2.609661817550659180e-01,-5.640131831169128418e-01,-1.630295962095260620e-01,1.124261021614074707e+00,-1.694953143596649170e-01,1.912787258625030518e-01,-1.515218913555145264e-01,-6.532409787178039551e-02
2.358185127377510071e-03,8.643063716590404510e-03,8.485998511314392090e-01,5.594932660460472107e-02,1.339588407427072525e-02,1.266471147537231445e-01,9.902781248092651367e-01,1.524918153882026672e-02,2.248396128416061401e-01,2.139406353235244751e-01,2.476592212915420532e-01,-4.617852717638015747e-02,-8.277707546949386597e-02,-2.248479127883911133e-01,-2.006372362375259399e-01,4.338380694389343262e-02,5.011688470840454102e-01,-2.184308320283889771e-01,1.128625273704528809e-01,-2.165367752313613892e-01,5.982215516269207001e-04,-1.268960684537887573e-01,-4.677999913692474365e-01,2.079825699329376221e-01,-6.828178763389587402e-01,-2.823552787303924561e-01,-1.737950369715690613e-02,-5.147224068641662598e-01,2.820875644683837891e-01,-5.848278999328613281e-01,-1.720470190048217773e-01,1.116661787033081055e+00,-1.544729024171829224e-01,1.596240848302841187e-01,-1.804933995008468628e-01,-8.566687256097793579e-02
2.537914318963885307e-03,1.406288612633943558e-02,8.429320454597473145e-01,5.481831356883049011e-02,1.090909633785486221e-02,1.152414679527282715e-01,9.917637705802917480e-01,2.732801996171474457e-02,2.252269536256790161e-01,2.133041471242904663e-01,2.737986147403717041e-01,-9.535847604274749756e-02,-6.594423949718475342e-02,-2.412811666727066040e-01,-1.895373016595840454e-01,5.231045931577682495e-02,5.495511889457702637e-01,-2.579531669616699219e-01,9.812890738248825073e-02,-2.397492229938507080e-01,3.884490346536040306e-03,-1.199571788311004639e-01,-4.741648733615875244e-01,1.998254656791687012e-01,-6.762946844100952148e-01,-2.707497775554656982e-01,-1.920972764492034912e-02,-5.236034989356994629e-01,2.909319996833801270e-01,-6.010364890098571777e-01,-1.814549863338470459e-01,1.111251235008239746e+00,-1.474186331033706665e-01,1.409682333469390869e-01,-2.018398344516754150e-01,-1.072173416614532471e-01
2.316510304808616638e-03,1.881371811032295227e-02,8.392963409423828125e-01,5.305217951536178589e-02,7.876411080360412598e-03,1.098293289542198181e-01,9.925023913383483887e-01,2.972849830985069275e-02,2.263268679380416870e-01,2.033192962408065796e-01,3.090934455394744873e-01,-1.452741622924804688e-01,-4.933838918805122375e-02,-2.468689531087875366e-01,-1.821265667676925659e-01,5.993764102458953857e-02,5.774773955345153809e-01,-2.820855081081390381e-01,9.093087911605834961e-02,-2.584540545940399170e-01,7.527546025812625885e-03,-1.195094361901283264e-01,-4.874811768531799316e-01,1.904171556234359741e-01,-6.779179573059082031e-01,-2.505106627941131592e-01,-2.207195945084095001e-02,-5.244126915931701660e-01,2.898150086402893066e-01,-6.132044196128845215e-01,-1.887414455413818359e-01,1.110081315040588379e+00,-1.413980275392532349e-01,1.412047445774078369e-01,-2.176720947027206421e-01,-1.251218318939208984e-01
2.475816989317536354e-03,2.597193047404289246e-02,8.379955887794494629e-01,5.104898288846015930e-02,3.485949011519551277e-03,1.075026392936706543e-01,9.928871989250183105e-01,2.259793132543563843e-02,2.262721061706542969e-01,1.973199993371963501e-01,3.601391613483428955e-01,-1.844089180231094360e-01,-3.119681216776371002e-02,-2.486114054918289185e-01,-1.798860579729080200e-01,6.984439492225646973e-02,6.014209389686584473e-01,-2.860259413719177246e-01,9.341137111186981201e-02,-2.611101567745208740e-01,9.048597887158393860e-03,-1.170437410473823547e-01,-5.027533173561096191e-01,1.985231190919876099e-01,-6.793026924133300781e-01,-2.348832786083221436e-01,-1.858717575669288635e-02,-5.285383462905883789e-01,2.789066731929779053e-01,-6.313263177871704102e-01,-2.018522918224334717e-01,1.109952569007873535e+00,-1.431207507848739624e-01,1.508793830871582031e-01,-2.288538813591003418e-01,-1.343813836574554443e-01
-4.084505606442689896e-03,3.063342534005641937e-02,8.384651541709899902e-01,4.894689098000526428e-02,-1.575000816956162453e-03,1.084181368350982666e-01,9.928984045982360840e-01,1.197041291743516922e-02,2.263512611389160156e-01,1.963593661785125732e-01,3.949697911739349365e-01,-2.105115503072738647e-01,-1.951405219733715057e-02,-2.452389150857925415e-01,-1.791748255491256714e-01,7.199769467115402222e-02,5.976538062095642090e-01,-2.768279314041137695e-01,9.412764757871627808e-02,-2.563067078590393066e-01,1.250033080577850342e-02,-1.184344291687011719e-01,-5.175036191940307617e-01,1.959606558084487915e-01,-6.848009824752807617e-01,-2.170320302248001099e-01,-2.655094303190708160e-02,-5.280295610427856445e-01,2.583126425743103027e-01,-6.485453248023986816e-01,-2.052561342716217041e-01,1.108055949211120605e+00,-1.406617164611816406e-01,1.724885106086730957e-01,-2.267987132072448730e-01,-1.315571516752243042e-01
-4.136655014008283615e-03,3.479931876063346863e-02,8.408285379409790039e-01,4.702395200729370117e-02,-2.762219868600368500e-03,1.210273876786231995e-01,9.915308952331542969e-01,2.995277987793087959e-03,2.262671887874603271e-01,2.018405199050903320e-01,4.099697172641754150e-01,-2.188303023576736450e-01,-1.037819776684045792e-02,-2.263925075531005859e-01,-1.892573237419128418e-01,5.014747381210327148e-02,5.739685893058776855e-01,-2.655522227287292480e-01,9.720585495233535767e-02,-2.443749010562896729e-01,1.175417937338352203e-02,-1.266951560974121094e-01,-5.326628088951110840e-01,1.865065544843673706e-01,-6.974530816078186035e-01,-1.972153335809707642e-01,-3.212824836373329163e-02,-5.164105296134948730e-01,2.293750494718551636e-01,-6.519293189048767090e-01,-2.006744295358657837e-01,1.109747052192687988e+00,-1.425148397684097290e-01,1.945315003395080566e-01,-2.124022543430328369e-01,-1.037792116403579712e-01
-3.798462916165590286e-03,3.957332298159599304e-02,8.455649018287658691e-01,4.647755622863769531e-02,-3.198570339009165764e-03,1.352850049734115601e-01,9.897108674049377441e-01,-1.119282445870339870e-03,2.207179963588714600e-01,2.333594709634780884e-01,4.012114703655242920e-01,-2.084107249975204468e-01,-2.123651065630838275e-04,-2.058770209550857544e-01,-2.093663960695266724e-01,1.607974804937839508e-02,5.371590852737426758e-01,-2.273381799459457397e-01,1.161703243851661682e-01,-2.185346931219100952e-01,8.076704107224941254e-03,-1.467468738555908203e-01,-5.474936962127685547e-01,1.717088967561721802e-01,-7.210796475410461426e-01,-1.802146434783935547e-01,-5.401523411273956299e-02,-5.020398497581481934e-01,1.915430277585983276e-01,-6.547723412513732910e-01,-1.852072924375534058e-01,1.114107370376586914e+00,-1.423846334218978882e-01,2.330010533332824707e-01,-1.895149499177932739e-01,-7.245078682899475098e-02
